Code_Interne,Nom_Patient_FR,Nom_Patient_AR,Nom_Technique,Categorie_FR,Categorie_AR,Prix_Dhs,Pre_Analytique_FR,Pre_Analytique_AR,Description_Patient_FR,Description_Patient_AR,Tags_FR,Tags_AR,Nombre_Demandes
EZ ALZH,Maladies Neurodégénératives,أمراض التنكس العصبي,MALADIES NEURODEGENERATIV,Neurologie,الأعصاب,0,Ponction lombaire.,بزل قطني.,Biomarqueurs Alzheimer dans LCR.,مؤشرات حيوية للألزهايمر.,alzheimer; démence; lcr; neurodégénératif,ألزهايمر; خرف; تنكس عصبي,1
EG BPAC,Ac Anti-BP180 et Anti-BP230,أجسام مضادة BP180 و BP230,AC ANTI-BP180  ET ANTI-BP,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Pemphigoïde bulleuse.,الفقاع الفقاعي.,pemphigoïde; peau; bulles; auto-immun,فقاع; جلد; فقاعات; مناعة,1
I  LEPT,Sérologie Leptospirose IgM,فحص داء البريميات IgM,SERO LEPTOSPIROSE IGM,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Leptospirose (infection récente).,داء البريميات (عدوى حديثة).,leptospirose; igm; infection; eau,داء بريميات; عدوى; ماء,1
I  RICK,Sérologie Rickettsiose,فحص الريكتسيا,SERO RICKETTSIOSE,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Fièvre boutonneuse.,حمى بقعية.,rickettsiose; fièvre; tique; boutonneuse,ريكتسيا; حمى; قرادة; بقعية,1
C  EPHB,Électrophorèse D'Hémoglobine,رحلان الهيموغلوبين,ELECTROPHORESE D'HB,Hématologie,أمراض الدم,0,Non à jeun.,بدون صيام.,Dépistage hémoglobinopathies.,فحص أمراض الهيموغلوبين.,électrophorèse; hémoglobine; thalassémie; drépanocytose,رحلان; هيموغلوبين; ثلاسيميا; منجلية,1
BM MCHY,Microdélétions Du Chromosome Y,حذوفات صغيرة للكروموسوم Y,Microdélétions du chromos,Génétique,الجينات,0,Non à jeun.,بدون صيام.,Infertilité masculine génétique.,عقم ذكوري جيني.,chromosome y; infertilité; génétique; azoospermie,كروموسوم واي; عقم; جينات,1
I  OREI,Sérologie Oreillons,فحص النكاف,SERO OREILLONS,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Sérologie oreillons.,فحص النكاف.,oreillons; immunité; parotide; vaccin,نكاف; مناعة; غدة لعابية; لقاح,1
BM PCBK,PCR BK,PCR عصية كوخ,pcr bk,Génétique,الجينات,0,Selon prélèvement.,حسب العينة.,PCR tuberculose.,PCR السل.,pcr; bk; tuberculose; génétique,بي سي آر; عصية كوخ; سل; جينات,1
I  MITT,Ac Anti-Mitochondries (Titrage),أجسام مضادة للميتوكوندريا معايرة,AC ANTI MITOCHONDRIES TIT,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Cirrhose biliaire (titrage).,تشمع صفراوي (معايرة).,mitochondries; titrage; cirrhose; foie,ميتوكوندريا; معايرة; تشمع; كبد,1
I  LYS,Lysozyme,الليزوزيم,LYSOSYMES,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Enzyme antibactérienne.,إنزيم مضاد للبكتيريا.,lysozyme; enzyme; immunité; leucémie,ليزوزيم; إنزيم; مناعة; ابيضاض,1
I  PEAU,Anticorps Anti-Peau,أجسام مضادة للجلد,ANTICORPS ANTI PEAU,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Maladies bulleuses auto-immunes.,أمراض فقاعية مناعية.,anticorps; peau; pemphigus; bulles,أجسام مضادة; جلد; فقاع; فقاعات,1
I  INSU,Ac Anti-Insuline,أجسام مضادة للأنسولين,AC ANTI INSULINE,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Résistance à l'insuline auto-immune.,مقاومة الأنسولين المناعية.,anti-insuline; diabète; auto-immun; résistance,مضادات أنسولين; السكري; مناعة,1
B  RCH2,Recherche Directe De Chlamydia PCR,بحث مباشر عن الكلاميديا PCR,RECHERCHE DIRECT DE CHLAM,Bactériologie,البكتيريا,0,Prélèvement génital.,عينة تناسلية.,PCR Chlamydia.,PCR الكلاميديا.,chlamydia; pcr; mst; génital,كلاميديا; بي سي آر; أمراض جنسية,1
I  TOX1,Toxoplasmose Avidité IgG,اختبار شراهة الأجسام المضادة,TOXO AVIDITE IGG,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Date infection toxoplasmose.,تاريخ عدوى داء القطط.,toxoplasmose; avidité; grossesse; récente,داء قطط; شراهة; حمل; حديث,1
BM DPDG,Génotypage DPD,النمط الجيني DPD,GENOTYPAGE DPD,Génétique,الجينات,0,Non à jeun.,بدون صيام.,Test génétique avant chimiothérapie.,فحص جيني قبل العلاج الكيماوي.,dpd; génotype; chimiothérapie; toxicité,جينات; علاج كيماوي; سمية,1
I  VARG,Sérologie Varicelle-Zona IgG,فحص الحماق IgG,SERO VARICELLE-ZONA (IGG),Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Immunité varicelle.,مناعة الحماق.,varicelle; zona; immunité; igg,حماق; هربس; مناعة,1
I  VARI,Sérologie Varicelle-Zona IgG/IgM,فحص الحماق IgG/IgM,SERO VARI-ZONA IGG/IGM,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Dépistage varicelle récente.,فحص الحماق الحديث.,varicelle; zona; igg; igm; récent,حماق; هربس; حديث,1
I  ZNT8,Ac Anti-Transporteur De Zinc,أجسام مضادة لناقل الزنك,AC ANTI TRANSPORTEUR DE Z,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Diabète type 1 auto-immun.,السكري نوع 1 المناعي.,znt8; diabète; type 1; auto-immun; zinc,ناقل زنك; السكري; نوع 1; مناعة,1
B  RMY2,Recherche Directe De Mycoplasme PCR,بحث مباشر عن الميكوبلازما PCR,RECHERCHE DIRECT DE MYCOP,Bactériologie,البكتيريا,0,Prélèvement génital.,عينة تناسلية.,PCR Mycoplasme.,PCR الميكوبلازما.,mycoplasme; pcr; mst; génital,ميكوبلازما; بي سي آر; أمراض جنسية,1
B  SCOT,Scotch-Test,اختبار اللاصق,SCOTCH-TEST,Parasitologie,الطفيليات,0,Le matin au réveil avant toilette.,صباحا عند الاستيقاظ قبل النظافة.,Recherche oxyures (enfants).,فحص الديدان الدبوسية (أطفال).,scotch-test; oxyures; vers; enfants; anus,لاصق; ديدان دبوسية; أطفال; شرج,1
HS TS,Temps De Saignement,زمن النزف,TEMPS DE SAIGNEMENT,Coagulation,التخثر,0,Non à jeun. Arrêt aspirine 8j avant.,بدون صيام. إيقاف الأسبرين 8 أيام.,Test hémostase primaire.,فحص الإرقاء الأولي.,temps saignement; hémostase; plaquettes; saignement,زمن نزف; إرقاء; صفائح; نزيف,1
C  EPPL,Électrophorèse Des Protéines LCR,رحلان البروتينات في السائل الدماغي,ELECTROPHORESE DES PROT,Immunologie,المناعة,0,Ponction lombaire.,بزل قطني.,Protéines dans LCR.,بروتينات في السائل الدماغي.,électrophorèse; protéines; lcr; méningite,رحلان; بروتينات; سائل دماغي,1
O  F11,Facteur XI,العامل الحادي عشر,FACTEUR XI (ROSENTHAL),Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Facteur de coagulation XI.,عامل التخثر الحادي عشر.,facteur 11; rosenthal; coagulation; hémophilie,عامل 11; تخثر; هيموفيليا,1
T  CD,Coombs Direct,اختبار كومبس المباشر,COOMBS DIRECT,Immuno-Hémato,المناعة والدم,0,Non à jeun.,بدون صيام.,Anémie hémolytique auto-immune.,فقر الدم الانحلالي المناعي.,coombs; anémie; hémolytique; auto-immun,كومبس; فقر دم; انحلالي; مناعة,1
SP RSPE,Recherche De Sperme,بحث عن الحيوانات المنوية,Recherche de sperme  dans,Fertilité,الخصوبة,0,Prélèvement vaginal post-coïtal.,عينة مهبلية بعد الجماع.,Test post-coïtal (fertilité).,فحص بعد الجماع (خصوبة).,sperme; fertilité; post-coïtal; vaginal,حيوانات منوية; خصوبة; بعد جماع,1
B  CU,Culot Urinaire,راسب البول,CULOT URINAIRE,Bilan Rénal (Reins),فحص الكلى,0,Urines du matin.,بول الصباح.,Examen microscopique urinaire.,فحص مجهري للبول.,culot; urines; microscopie; sédiment,راسب; بول; مجهر; رواسب,1
C  RENI,Rénine/Aldostérone,الرينين والألدوستيرون,RENINE / ALDOSTERONE POUR,Hormonologie,الهرمونات,0,Position allongée puis debout.,وضعية مستلقية ثم واقفة.,Hypertension artérielle secondaire.,ارتفاع ضغط الدم الثانوي.,rénine; aldostérone; tension; surrénale,رينين; ألدوستيرون; ضغط; كظر,1
B  ECBC,Examen Cytobactériologique Crachats,فحص خلوي بكتيري للبلغم,Examen cytobacteriologiqu,Bactériologie,البكتيريا,0,Crachats du matin.,بلغم الصباح.,Culture crachats.,زرع البلغم.,ecbc; crachats; poumons; infection; culture,فحص بلغم; رئة; عدوى; زرع,1
N  TESB,Testostérone Biodisponible,هرمون الذكورة المتاح حيويا,TESTOSTERONE BIODISPONIBL,Hormonologie,الهرمونات,0,Le matin entre 8-10h.,صباحا بين 8-10.,Testostérone libre calculée.,هرمون الذكورة الحر المحسوب.,testostérone; biodisponible; libre; hommes,تستوستيرون; متاح; حر; رجال,1
U  5HIA,5-Hydroxy-Indoleacétate,5 هيدروكسي إندول أسيتات,5 HYDROXY INDOLEACETATE,Cancer,السرطان,0,Urines 24h. Régime sans sérotonine.,بول 24 ساعة. نظام غذائي خاص.,Marqueur tumeur carcinoïde.,مؤشر ورم سرطاني.,5-hiaa; carcinoïde; tumeur; sérotonine,5 هيدروكسي; ورم; سرطاني,1
N  TESH,Testostérone Libre,هرمون الذكورة الحر,TESTOSTERONE LIBRE,Hormonologie,الهرمونات,0,Le matin entre 8-10h.,صباحا بين 8-10.,Testostérone active.,هرمون الذكورة النشط.,testostérone; libre; active; hommes,تستوستيرون; حر; نشط; رجال,1
B  GOUT,Goutte Épaisse,فحص القطرة السميكة,GOUTTE EPAISSE,Parasitologie,الطفيليات,0,Sang pendant fièvre.,دم أثناء الحمى.,Recherche paludisme.,فحص الملاريا.,goutte épaisse; paludisme; malaria; fièvre,قطرة سميكة; ملاريا; حمى,1
NU ACVM,Acide Vanylmandélique,حمض الفانيل مانديليك,ACIDE VANYL MANDELIQUE,Hormonologie,الهرمونات,0,Urines 24h. Régime sans café.,بول 24 ساعة. بدون قهوة.,Phéochromocytome.,ورم القواتم.,vma; phéochromocytome; surrénale; urines,في إم إيه; ورم قواتم; كظر; بول,1
B  HEMO,Hémoculture,زرع الدم,HEMOCULTURE,Bactériologie,البكتيريا,0,Pendant pic fébrile.,أثناء ذروة الحمى.,Culture sanguine (septicémie).,زرع الدم (تعفن الدم).,hémoculture; sang; septicémie; fièvre; bactérie,زرع دم; تعفن; حمى; بكتيريا,1
O  F12,Facteur XII,العامل الثاني عشر,FACTEUR XII (HAGEMAN),Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Facteur de coagulation XII.,عامل التخثر الثاني عشر.,facteur 12; hageman; coagulation; contact,عامل 12; تخثر,1
I  RACH,Ac Anti-Récepteur Acétylcholine,أجسام مضادة لمستقبل الأسيتيل كولين,AC ANTI RACH (ACETHYLCHOL,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Myasthénie.,وهن عضلي وبيل.,anti-récepteur; acétylcholine; myasthénie; muscles,مضادات مستقبل; أسيتيل كولين; وهن عضلي,1
AT C1,C1 Estérase (Inhibiteur),مثبط C1 إستيراز,C 1 ESTERASE ( PRONDERAL,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Angio-œdème héréditaire.,وذمة وعائية وراثية.,c1 estérase; angio-œdème; complément; œdème,سي1 إستيراز; وذمة; متمم,1
U  BJ,Protéinurie De Bence Jones,بروتين بنس جونز,PROTEINURIE THERMOSOLUBLE,Immunologie,المناعة,0,Urines fraîches.,بول طازج.,Myélome (chaînes légères).,ميلوما (سلاسل خفيفة).,bence jones; myélome; protéines; urines,بنس جونز; ميلوما; بروتينات; بول,1
C  ERHT,Érythropoïétine,الإريثروبويتين,DOSAGE DE L ERYTHROPOITEN,Hormonologie,الهرمونات,0,Non à jeun.,بدون صيام.,Hormone stimulant globules rouges.,هرمون محفز الكريات الحمراء.,érythropoïétine; epo; anémie; reins,إريثروبويتين; فقر دم; كلى,1
X  CARY,Caryotype,النمط النووي,CARYOTYPE,Génétique,الجينات,0,Sang + consentement.,دم + موافقة.,Analyse chromosomes.,تحليل الكروموسومات.,caryotype; chromosomes; génétique; anomalie,نمط نووي; كروموسومات; جينات; شذوذ,1
C  FIBA,FibroTest,فايبروتيست,FIBROTEST,Bilan Hépatique (Foie),فحص الكبد,0,À jeun. Algorithme calculé.,صائم. خوارزمية محسوبة.,Fibrose hépatique (non invasif).,تليف كبدي (غير جراحي).,fibrotest; fibrose; foie; hépatite,فايبروتيست; تليف; كبد; التهاب,1
HS MUTA,Mutation Gène Prothrombine,طفرة جين البروثرومبين,MUTATION GENE PROTHROMBIN,Génétique,الجينات,0,Non à jeun.,بدون صيام.,Thrombophilie génétique.,جلطات وراثية.,mutation; prothrombine; thrombose; génétique,طفرة; بروثرومبين; جلطة; جينات,1
BM LEP,Leptospirose PCR,PCR داء البريميات,LEPTOSPIROSE,Génétique,الجينات,0,Sang ou urines.,دم أو بول.,PCR leptospirose.,PCR داء البريميات.,leptospirose; pcr; infection,داء بريميات; بي سي آر; عدوى,1
I  ROUG,Sérologie Rougeole,فحص الحصبة,SERO ROUGEOLE,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Sérologie rougeole.,فحص الحصبة.,rougeole; sérologie; immunité,حصبة; مناعة,1
N  GH,Hormone De Croissance,هرمون النمو,HORMONE DE CROISSANCE,Hormonologie,الهرمونات,0,À jeun. Après effort ou hypoglycémie.,صائم. بعد مجهود أو نقص سكر.,Déficit en hormone de croissance.,نقص هرمون النمو.,gh; croissance; hormone; nanisme; taille,هرمون نمو; قامة; قصر,1
B  DSS,Dosage De Sang Dans Les Selles,جرعة الدم في البراز,DOSAGE DE SANG DANS  LES,Bactériologie,البكتيريا,0,Selles fraîches.,براز طازج.,Hémoglobine fécale.,هيموغلوبين البراز.,sang; selles; hémoglobine; saignement; cancer,دم; براز; هيموغلوبين; نزيف; سرطان,1
O  F7,Facteur VII,العامل السابع,FACTEUR VII (PROCONVERTIN,Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Facteur de coagulation VII.,عامل التخثر السابع.,facteur 7; proconvertine; coagulation,عامل 7; تخثر,1
B  CPR2,Coproparasitologie Des Selles,فحص طفيليات البراز,COPROPARASITOLOGIE DES SE,Parasitologie,الطفيليات,0,Selles fraîches.,براز طازج.,Recherche parasites répétée.,فحص طفيليات متكرر.,parasites; selles; coproparasitologie,طفيليات; براز; فحص,1
SE RUBM,Sérologie Rubéole IgM,فحص الحصبة الألمانية IgM,SERO RUBEOLE IGM,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Rubéole récente (grossesse).,حصبة ألمانية حديثة (حمل).,rubéole; igm; grossesse; récente,حصبة ألمانية; حمل; حديثة,1
S  HVEM,Hépatite E IgM,التهاب الكبد إي IgM,HEPATITE E IGM,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Hépatite E récente.,التهاب الكبد إي الحديث.,hépatite e; igm; infection; récente,التهاب كبد إي; عدوى; حديث,1
B  BK3C,Recherche De BK x3 + Culture,بحث عن عصية كوخ 3 مرات + زرع,RECHERCHE DE BK*3 + CULTU,Bactériologie,البكتيريا,0,Crachats 3 jours + culture.,بلغم 3 أيام + زرع.,BK + culture prolongée.,عصية كوخ + زرع طويل.,bk; tuberculose; culture; 3 fois; crachats,عصية كوخ; سل; زرع; 3 مرات; بلغم,1
S  HVEG,Hépatite E IgG,التهاب الكبد إي IgG,HEPATITE E IGG,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Immunité Hépatite E.,مناعة التهاب الكبد إي.,hépatite e; igg; immunité,التهاب كبد إي; مناعة,1
S  HBD,Hépatite D,التهاب الكبد دال,HEPATITE D,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Surinfection VHB.,عدوى إضافية لفيروس ب.,hépatite d; delta; surinfection,التهاب كبد دال; عدوى إضافية,1
N  INHB,Inhibine B,الإنهيبين ب,INHIBINE B,Hormonologie,الهرمونات,0,Jour 3 du cycle.,اليوم 3 من الدورة.,Réserve ovarienne et testiculaire.,احتياطي المبيض والخصية.,inhibine b; fertilité; ovaires; testicules,إنهيبين ب; خصوبة; مبايض; خصيتين,1
MS TR1,Chromosome 21 Au 1er Trimestre,الكروموسوم 21 في الثلث الأول,CHROMOSOME 21 AU 1EME TRI,Génétique,الجينات,0,Prise de sang grossesse.,عينة دم الحمل.,Dépistage trisomie 21.,فحص متلازمة داون.,chromosome 21; trisomie; dépistage; grossesse,كروموسوم 21; متلازمة داون; حمل,1
